Shipment#,IndexDate,Month,Year,Date(Period),CarrierRef,EnglishOrigin,EnglishDestination,Route,GCD,CO2,CO2Metric,Density,CDCTrafficRating,CDCDensityRating,CDCEfficiencyRating,RDCTrafficRating,RDCDensityRating,RDCEfficiencyRating,RouteTrafficRating,RouteDensityRating,RouteEfficiencyRating
332,06-04-2013,6,2013,Jun-13,Carrier06,Shanghai CDC,Nanjing RDC,"Shanghai CDC , Nanjing RDC",278.7,0.367923819,0.22375303,168.5714286,5,4,3,2,2,2,5,1,4
333,06-04-2013,6,2013,Jun-13,Carrier02,Beijing CDC,Changsha RDC,"Beijing CDC , Changsha RDC",1344.6,79.3963776,0.064480131,151.5657067,3,3,5,4,4,5,1,3,5
334,06-05-2013,6,2013,Jun-13,Carrier09,Huiyang CDC,Guangdong RDC,"Huiyang CDC , Guangdong RDC",38.6,28.87183017,0.367464935,145.4863841,4,1,2,4,4,5,3,1,4
335,06-05-2013,6,2013,Jun-13,Carrier02,Huiyang CDC,Chongqing RDC,"Huiyang CDC , Chongqing RDC",1583.9,1.805561519,0.068580596,148.4107143,4,1,2,4,4,5,1,1,5
336,06-05-2013,6,2013,Jun-13,Carrier08,Chengdu CDC,Beijing RDC,"Chengdu CDC , Beijing RDC",1518.7,698.063547,0.130441388,292.4775896,2,3,3,4,4,5,2,3,5
337,06-05-2013,6,2013,Jun-13,Carrier09,Huiyang CDC,Guangzhou RDC,"Huiyang CDC , Guangzhou RDC",99.9,156.8873984,0.389713103,121.6453346,4,1,2,4,4,5,5,1,3
338,06-05-2013,6,2013,Jun-13,Carrier07,Chengdu CDC,Guiyang RDC,"Chengdu CDC , Guiyang RDC",547.7,691.4582135,0.321125141,132.4020813,2,3,3,4,4,5,2,1,4
339,06-05-2013,6,2013,Jun-13,Carrier03,Beijing CDC,Taiyuan RDC,"Beijing CDC , Taiyuan RDC",412.8,1.782091725,0.303592311,131.6666667,3,3,5,2,2,5,3,1,4
340,06-05-2013,6,2013,Jun-13,Carrier09,Huiyang CDC,Shanghai RDC,"Huiyang CDC , Shanghai RDC",1164,81.85427942,0.260184204,151.5,4,1,2,2,2,2,2,1,4
341,06-06-2013,6,2013,Jun-13,Carrier08,Beijing CDC,Harbin RDC,"Beijing CDC , Harbin RDC",1057.4,148.6711951,0.302692603,123.2749469,3,3,5,4,3,3,2,1,4
342,06-06-2013,6,2013,Jun-13,Carrier06,Shanghai CDC,Hangzhou RDC,"Shanghai CDC , Hangzhou RDC",178.7,73.4409143,0.276992127,137.9800986,5,4,3,4,3,3,4,1,2
343,06-06-2013,6,2013,Jun-13,Carrier07,Huiyang CDC,Kunming RDC,"Huiyang CDC , Kunming RDC",1205.6,0.884578747,0.187270267,217.6666667,4,1,2,4,3,3,3,2,4
344,06-06-2013,6,2013,Jun-13,Carrier08,Chengdu CDC,Zhengzhou RDC,"Chengdu CDC , Zhengzhou RDC",1030.4,62.78386672,0.13507326,279.8387097,2,3,3,2,2,5,1,3,5
345,06-06-2013,6,2013,Jun-13,Carrier09,Huiyang CDC,Changsha RDC,"Huiyang CDC , Changsha RDC",611,978.252421,0.342718806,124.4151908,4,1,2,4,4,5,3,1,4
346,06-06-2013,6,2013,Jun-13,Carrier07,Huiyang CDC,Nanning RDC,"Huiyang CDC , Nanning RDC",636.6,343.5071621,0.272801546,136.4784379,4,1,2,2,2,2,2,1,4
347,06-06-2013,6,2013,Jun-13,Carrier08,Shanghai CDC,Guiyang RDC,"Shanghai CDC , Guiyang RDC",1547,28.90954883,0.204906701,184.989858,5,4,3,4,4,5,2,2,4
348,06-06-2013,6,2013,Jun-13,Carrier06,Huiyang CDC,Hangzhou RDC,"Huiyang CDC , Hangzhou RDC",1000.8,45.36060885,0.348997839,114.3221831,4,1,2,4,3,3,2,1,4
349,06-06-2013,6,2013,Jun-13,Carrier07,Shanghai CDC,Xiamen RDC,"Shanghai CDC , Xiamen RDC",822,272.5980402,0.166082448,240.3136358,5,4,3,2,2,5,2,2,4
350,06-06-2013,6,2013,Jun-13,Carrier09,Huiyang CDC,Wuhan RDC,"Huiyang CDC , Wuhan RDC",841.8,3.752678636,0.356434147,105.9915254,4,1,2,2,2,5,3,1,4
351,06-06-2013,6,2013,Jun-13,Carrier08,Hefei CDC,Guangzhou RDC,"Hefei CDC , Guangzhou RDC",1029.491051,41.49,1.06196225,193.8202247,1,5,1,4,4,5,2,3,4
352,06-06-2013,6,2013,Jun-13,Carrier07,Huiyang CDC,Nanchang RDC,"Huiyang CDC , Nanchang RDC",659.3,655.9739822,0.286989897,127.317848,4,1,2,2,2,2,3,1,4
353,06-07-2013,6,2013,Jun-13,Carrier08,Huiyang CDC,Qingdao RDC,"Huiyang CDC , Qingdao RDC",1553.3,348.247897,0.237349061,153.9682152,4,1,2,2,2,2,2,1,4
354,06-07-2013,6,2013,Jun-13,Carrier02,Huiyang CDC,Shenyang RDC,"Huiyang CDC , Shenyang RDC",2282,0.667493591,0.063312503,165,4,1,2,2,2,5,1,1,5
355,06-07-2013,6,2013,Jun-13,Carrier08,Huiyang CDC,Beijing RDC,"Huiyang CDC , Beijing RDC",1915.8,30.28404617,0.296020967,118.1415929,4,1,2,4,4,5,3,1,4
356,06-07-2013,6,2013,Jun-13,Carrier08,Hefei CDC,Guangdong RDC,"Hefei CDC , Guangdong RDC",1050.048508,88.69,1.055784558,250,1,5,1,4,4,5,2,3,3
357,06-07-2013,6,2013,Jun-13,Carrier03,Beijing CDC,Hohhot RDC,"Beijing CDC , Hohhot RDC",398.9,3.749051838,0.286364272,131.8072289,3,3,5,4,3,3,3,1,4
358,06-08-2013,6,2013,Jun-13,Carrier09,Huiyang CDC,Guangzhou RDC,"Huiyang CDC , Guangzhou RDC",99.9,53.52553307,0.355904284,133.8641295,4,1,2,4,4,5,5,1,3
359,06-08-2013,6,2013,Jun-13,Carrier08,Shenzhen CDC,Hefei RDC,"Shenzhen CDC , Hefei RDC",1070,2.760797203,0.251725298,152.9850746,2,3,4,4,3,3,1,1,4
360,06-08-2013,6,2013,Jun-13,Carrier07,Huiyang CDC,Jiulongpo RDC,"Huiyang CDC , Jiulongpo RDC",1085.5,4.693957427,0.383796513,118.6,4,1,2,4,3,3,1,1,4
361,06-08-2013,6,2013,Jun-13,Carrier03,Beijing CDC,Taiyuan RDC,"Beijing CDC , Taiyuan RDC",412.8,568.7548148,0.312629198,127.3442557,3,3,5,2,2,5,3,1,4
362,06-08-2013,6,2013,Jun-13,Carrier06,Huiyang CDC,Nanjing RDC,"Huiyang CDC , Nanjing RDC",1096.6,28.5041278,0.289746807,134.2964072,4,1,2,2,2,2,3,1,4
363,06-08-2013,6,2013,Jun-13,Carrier08,Shanghai CDC,Kunming RDC,"Shanghai CDC , Kunming RDC",1971.7,219.2963743,0.137124865,277.3939808,5,4,3,4,3,3,2,2,5
364,06-08-2013,6,2013,Jun-13,Carrier09,Huiyang CDC,Guangzhou RDC,"Huiyang CDC , Guangzhou RDC",99.9,52.80366384,0.393020347,120.5737852,4,1,2,4,4,5,5,1,3
365,06-08-2013,6,2013,Jun-13,Carrier07,Huiyang CDC,Fuzhou RDC,"Huiyang CDC , Fuzhou RDC",602.1,68.94186199,0.285837825,138.4669893,4,1,2,4,4,5,3,1,4
366,06-08-2013,6,2013,Jun-13,Carrier03,Beijing CDC,Taiyuan RDC,"Beijing CDC , Taiyuan RDC",412.8,49.51950385,0.320748766,124.0875912,3,3,5,2,2,5,3,1,4
367,06-09-2013,6,2013,Jun-13,Carrier07,Shanghai CDC,Xiamen RDC,"Shanghai CDC , Xiamen RDC",822,28.91896495,0.251294447,158.013544,5,4,3,2,2,5,2,2,4
368,06-09-2013,6,2013,Jun-13,Carrier02,Beijing CDC,Urumqi RDC,"Beijing CDC , Urumqi RDC",2409.8,4.08305139,0.091785092,122.2516556,3,3,5,2,2,5,1,1,5
369,06-09-2013,6,2013,Jun-13,Carrier06,Shanghai CDC,Hefei RDC,"Shanghai CDC , Hefei RDC",413.4,645.824158,0.289477983,129.2622754,5,4,3,4,3,3,3,1,4
370,06-09-2013,6,2013,Jun-13,Carrier08,Beijing CDC,Jiulongpo RDC,"Beijing CDC , Jiulongpo RDC",1479.7,29.33459536,0.131011704,293.8252427,3,3,5,4,3,3,1,2,4
371,06-09-2013,6,2013,Jun-13,Carrier06,Beijing CDC,Tianjin RDC,"Beijing CDC , Tianjin RDC",137.3,3.356648824,0.306321909,126.8839428,3,3,5,2,2,5,3,1,4
372,06-09-2013,6,2013,Jun-13,Carrier07,Huiyang CDC,Nanning RDC,"Huiyang CDC , Nanning RDC",636.6,30.64179556,0.271009835,137.3611756,4,1,2,2,2,2,2,1,4
373,06-09-2013,6,2013,Jun-13,Carrier06,Shanghai CDC,Nanjing RDC,"Shanghai CDC , Nanjing RDC",278.7,30.45959434,0.14672192,260.7245362,5,4,3,2,2,2,5,1,4
374,06-09-2013,6,2013,Jun-13,Carrier08,Shenzhen CDC,Nanning RDC,"Shenzhen CDC , Nanning RDC",565.6,7.66394627,0.25809747,147.4719101,2,3,4,2,2,2,1,2,4
375,06-09-2013,6,2013,Jun-13,Carrier06,Shanghai CDC,Hangzhou RDC,"Shanghai CDC , Hangzhou RDC",178.7,22.87042274,0.161780618,243.3358966,5,4,3,4,3,3,4,1,2
376,06-09-2013,6,2013,Jun-13,Carrier06,Beijing CDC,Shijiazhuang RDC,"Beijing CDC , Shijiazhuang RDC",266.2,622.6710663,0.295319792,130.4188895,3,3,5,2,2,5,3,1,4
377,06-09-2013,6,2013,Jun-13,Carrier06,Huiyang CDC,Hefei RDC,"Huiyang CDC , Hefei RDC",1031,28.36277938,0.262687709,139.2619681,4,1,2,4,3,3,2,1,4
378,06-09-2013,6,2013,Jun-13,Carrier08,Huiyang CDC,Beijing RDC,"Huiyang CDC , Beijing RDC",1915.8,3476.060395,0.23238014,150.6544851,4,1,2,4,4,5,3,1,4
379,06-10-2013,6,2013,Jun-13,Carrier07,Huiyang CDC,Jiulongpo RDC,"Huiyang CDC , Jiulongpo RDC",1085.5,393.5413806,0.383479968,118.6353369,4,1,2,4,3,3,1,1,4
380,06-10-2013,6,2013,Jun-13,Carrier03,Beijing CDC,Taiyuan RDC,"Beijing CDC , Taiyuan RDC",412.8,833.102471,0.303257845,131.339629,3,3,5,2,2,5,3,1,4
381,06-10-2013,6,2013,Jun-13,Carrier06,Shanghai CDC,Hefei RDC,"Shanghai CDC , Hefei RDC",413.4,364.3527797,0.259860689,144.2702795,5,4,3,4,3,3,3,1,4
382,06-10-2013,6,2013,Jun-13,Carrier02,Beijing CDC,Kunming RDC,"Beijing CDC , Kunming RDC",2096,0.031157649,0.09009267,165,3,3,5,4,3,3,2,1,5
383,06-13-2013,6,2013,Jun-13,Carrier09,Huiyang CDC,Guangzhou RDC,"Huiyang CDC , Guangzhou RDC",99.9,221.6620588,0.383516321,123.7172825,4,1,2,4,4,5,5,1,3
384,06-13-2013,6,2013,Jun-13,Carrier08,Shanghai CDC,Jiulongpo RDC,"Shanghai CDC , Jiulongpo RDC",1472.3,58.69589134,0.160175822,235.2495274,5,4,3,4,3,3,2,2,5
385,06-14-2013,6,2013,Jun-13,Carrier08,Beijing CDC,Wuhan RDC,"Beijing CDC , Wuhan RDC",1079.3,532.1553652,0.259241609,132.9268242,3,3,5,2,2,5,2,1,5
386,06-14-2013,6,2013,Jun-13,Carrier08,Beijing CDC,Guangzhou RDC,"Beijing CDC , Guangzhou RDC",1899.1,10.72983244,0.216972217,165.8598726,3,3,5,4,4,5,3,1,4
387,06-14-2013,6,2013,Jun-13,Carrier02,Chengdu CDC,Xining RDC,"Chengdu CDC , Xining RDC",673.4,67.73305391,0.123213888,130.1552934,2,3,3,1,3,2,1,1,5
388,06-14-2013,6,2013,Jun-13,Carrier08,Chengdu CDC,Shanghai RDC,"Chengdu CDC , Shanghai RDC",1667.4,43.46021569,0.125916237,300,2,3,3,2,2,2,1,3,4
389,06-14-2013,6,2013,Jun-13,Carrier09,Huiyang CDC,Guangdong RDC,"Huiyang CDC , Guangdong RDC",38.6,20.53677097,0.402249323,131.112609,4,1,2,4,4,5,3,1,4
390,06-14-2013,6,2013,Jun-13,Carrier08,Shanghai CDC,Xian RDC,"Shanghai CDC , Xian RDC",1238.3,58.16852541,0.22692996,158.6206897,5,4,3,2,2,5,3,2,5
391,06-14-2013,6,2013,Jun-13,Carrier07,Huiyang CDC,Hainan RDC,"Huiyang CDC , Hainan RDC",541.9,33.50802334,0.338656804,122.0501337,4,1,2,4,4,5,2,1,4
392,06-14-2013,6,2013,Jun-13,Carrier08,Shenzhen CDC,Hangzhou RDC,"Shenzhen CDC , Hangzhou RDC",1056.6,0.671300897,0.222926533,190,2,3,4,4,3,3,1,2,4
393,06-14-2013,6,2013,Jun-13,Carrier08,Shenzhen CDC,Guangzhou RDC,"Shenzhen CDC , Guangzhou RDC",52.1,0.323623096,0.28677635,180.5,2,3,4,4,4,5,2,2,4
394,06-14-2013,6,2013,Jun-13,Carrier08,Shanghai CDC,Taiyuan RDC,"Shanghai CDC , Taiyuan RDC",1101.8,271.2435762,0.243841349,162.262938,5,4,3,2,2,5,3,2,5
395,06-15-2013,6,2013,Jun-13,Carrier08,Beijing CDC,Harbin RDC,"Beijing CDC , Harbin RDC",1057.4,291.9876041,0.271521457,137.525355,3,3,5,4,3,3,2,1,4
396,06-15-2013,6,2013,Jun-13,Carrier08,Chengdu CDC,Taiyuan RDC,"Chengdu CDC , Taiyuan RDC",1107.1,82.66685106,0.141527149,269.1836735,2,3,3,2,2,5,1,3,4
397,06-15-2013,6,2013,Jun-13,Carrier07,Chengdu CDC,Guiyang RDC,"Chengdu CDC , Guiyang RDC",547.7,7.005874261,0.230725914,184.8,2,3,3,4,4,5,2,1,4
398,06-15-2013,6,2013,Jun-13,Carrier07,Huiyang CDC,Fuzhou RDC,"Huiyang CDC , Fuzhou RDC",602.1,337.3759947,0.293358255,134.8722638,4,1,2,4,4,5,3,1,4
399,06-15-2013,6,2013,Jun-13,Carrier09,Huiyang CDC,Wuhan RDC,"Huiyang CDC , Wuhan RDC",841.8,14.0560272,0.210636608,179.755102,4,1,2,2,2,5,3,1,4
400,06-15-2013,6,2013,Jun-13,Carrier03,Beijing CDC,Taiyuan RDC,"Beijing CDC , Taiyuan RDC",412.8,858.5969766,0.315093855,126.3325104,3,3,5,2,2,5,3,1,4
401,06-15-2013,6,2013,Jun-13,Carrier12,Beijing CDC,Chongqing RDC,"Beijing CDC , Chongqing RDC",560.2,437.5678675,0.313802561,121.8663403,3,3,5,4,4,5,3,1,4
402,06-15-2013,6,2013,Jun-13,Carrier03,Beijing CDC,Hohhot RDC,"Beijing CDC , Hohhot RDC",398.9,77.01105183,0.299675642,125.9481916,3,3,5,4,3,3,3,1,4
403,06-17-2013,6,2013,Jun-13,Carrier07,Chengdu CDC,Guiyang RDC,"Chengdu CDC , Guiyang RDC",547.7,1489.500003,0.325535657,130.5898049,2,3,3,4,4,5,2,1,4
404,06-17-2013,6,2013,Jun-13,Carrier08,Shanghai CDC,Guiyang RDC,"Shanghai CDC , Guiyang RDC",1547,95.37205859,0.238066429,159.0663391,5,4,3,4,4,5,2,2,4
405,06-17-2013,6,2013,Jun-13,Carrier06,Shanghai CDC,Hainan RDC,"Shanghai CDC , Hainan RDC",1691.49454,159.93,0.986535078,158.1257218,5,4,3,4,4,5,2,2,2
406,06-17-2013,6,2013,Jun-13,Carrier08,Huiyang CDC,Xian RDC,"Huiyang CDC , Xian RDC",1383.2,136.5715677,0.351653814,119.3268168,4,1,2,2,2,5,2,1,4
407,06-17-2013,6,2013,Jun-13,Carrier07,Huiyang CDC,Nanning RDC,"Huiyang CDC , Nanning RDC",636.6,253.418035,0.304752008,122.0218589,4,1,2,2,2,2,2,1,4
408,06-17-2013,6,2013,Jun-13,Carrier08,Huiyang CDC,Tianjin RDC,"Huiyang CDC , Tianjin RDC",1823.8,435.8248141,0.353237613,104.0129151,4,1,2,2,2,5,1,1,4
409,06-17-2013,6,2013,Jun-13,Carrier08,Shenzhen CDC,Xian RDC,"Shenzhen CDC , Xian RDC",1376,3.888838184,0.249641422,166.4852941,2,3,4,2,2,5,2,2,4
410,06-18-2013,6,2013,Jun-13,Carrier03,Beijing CDC,Lanzhou RDC,"Beijing CDC , Lanzhou RDC",1161.4,13.84170313,0.203391279,204.8846154,3,3,5,4,3,3,2,1,4
411,06-18-2013,6,2013,Jun-13,Carrier07,Huiyang CDC,Nanchang RDC,"Huiyang CDC , Nanchang RDC",659.3,231.9299817,0.289804323,126.0630387,4,1,2,2,2,2,3,1,4
412,06-18-2013,6,2013,Jun-13,Carrier07,Beijing CDC,Chengdu RDC,"Beijing CDC , Chengdu RDC",1536.1,70.37067418,0.251422871,150.4607762,3,3,5,4,4,5,2,3,4
413,06-18-2013,6,2013,Jun-13,Carrier06,Shanghai CDC,Hangzhou RDC,"Shanghai CDC , Hangzhou RDC",178.7,60.06345591,0.291010758,131.0845534,5,4,3,4,3,3,4,1,2
414,06-18-2013,6,2013,Jun-13,Carrier06,Shanghai CDC,Nanjing RDC,"Shanghai CDC , Nanjing RDC",278.7,17.4974974,0.264914227,141.2348033,5,4,3,2,2,2,5,1,4
415,06-18-2013,6,2013,Jun-13,Carrier07,Huiyang CDC,Fuzhou RDC,"Huiyang CDC , Fuzhou RDC",602.1,21.52978855,0.311696553,126.9026549,4,1,2,4,4,5,3,1,4
416,06-18-2013,6,2013,Jun-13,Carrier08,Huiyang CDC,Shijiazhuang RDC,"Huiyang CDC , Shijiazhuang RDC",1691.7,46.64910355,0.304753121,117.3592737,4,1,2,2,2,5,1,1,4
417,06-18-2013,6,2013,Jun-13,Carrier10,Hefei CDC,Guangzhou RDC,"Hefei CDC , Guangzhou RDC",1029.5,12.40475992,0.150616318,250,1,5,1,4,4,5,2,3,4
418,06-18-2013,6,2013,Jun-13,Carrier08,Shenzhen CDC,Hangzhou RDC,"Shenzhen CDC , Hangzhou RDC",1056.6,182.1417167,0.264130453,155.5039314,2,3,4,4,3,3,1,2,4
419,06-19-2013,6,2013,Jun-13,Carrier02,Shanghai CDC,Urumqi RDC,"Shanghai CDC , Urumqi RDC",3293.4,18.90059224,0.069150401,147.6725979,5,4,3,2,2,5,1,1,5
420,06-19-2013,6,2013,Jun-13,Carrier06,Shanghai CDC,Hangzhou RDC,"Shanghai CDC , Hangzhou RDC",178.7,9.491957432,0.253250298,151.5462428,5,4,3,4,3,3,4,1,2
421,06-19-2013,6,2013,Jun-13,Carrier06,Shanghai CDC,Hefei RDC,"Shanghai CDC , Hefei RDC",413.4,131.8160283,0.269519988,139.0036423,5,4,3,4,3,3,3,1,4
422,06-20-2013,6,2013,Jun-13,Carrier08,Shanghai CDC,Xian RDC,"Shanghai CDC , Xian RDC",1238.3,8.864325335,0.197202851,182.4120603,5,4,3,2,2,5,3,2,5
423,06-20-2013,6,2013,Jun-13,Carrier06,Shanghai CDC,Hangzhou RDC,"Shanghai CDC , Hangzhou RDC",178.7,102.3810207,0.222250278,173.7192533,5,4,3,4,3,3,4,1,2
424,06-20-2013,6,2013,Jun-13,Carrier08,Shanghai CDC,Changchun RDC,"Shanghai CDC , Changchun RDC",1442.9,390.6825497,0.252619656,176.4307819,5,4,3,4,4,5,2,2,4
425,06-20-2013,6,2013,Jun-13,Carrier08,Chengdu CDC,Qingdao RDC,"Chengdu CDC , Qingdao RDC",1372.6,126.6795004,0.139413348,275.8333333,2,3,3,2,2,2,2,3,4
426,06-20-2013,6,2013,Jun-13,Carrier08,Huiyang CDC,Qingdao RDC,"Huiyang CDC , Qingdao RDC",1553.3,3459.477198,0.300379529,121.5260932,4,1,2,2,2,2,2,1,4
427,06-20-2013,6,2013,Jun-13,Carrier08,Shenzhen CDC,Beijing RDC,"Shenzhen CDC , Beijing RDC",1941.7,494.7800783,0.233788691,155.1972092,2,3,4,4,4,5,3,2,4
428,06-20-2013,6,2013,Jun-13,Carrier08,Chengdu CDC,Guangzhou RDC,"Chengdu CDC , Guangzhou RDC",1278.8,82.92428035,0.157037238,279.7628726,2,3,3,4,4,5,2,3,5
429,06-20-2013,6,2013,Jun-13,Carrier07,Shanghai CDC,Fuzhou RDC,"Shanghai CDC , Fuzhou RDC",623.6,58.61993622,0.185812341,221.1101399,5,4,3,4,4,5,1,2,4
430,06-21-2013,6,2013,Jun-13,Carrier09,Huiyang CDC,Guangzhou RDC,"Huiyang CDC , Guangzhou RDC",99.9,84.3187796,0.339376675,140.7872063,4,1,2,4,4,5,5,1,3
431,06-21-2013,6,2013,Jun-13,Carrier08,Shenzhen CDC,Xiamen RDC,"Shenzhen CDC , Xiamen RDC",486.2,9.156127418,0.306660455,130.3821656,2,3,4,2,2,5,1,1,4
432,06-21-2013,6,2013,Jun-13,Carrier06,Shanghai CDC,Hangzhou RDC,"Shanghai CDC , Hangzhou RDC",178.7,99.0850943,0.172053652,227.8170508,5,4,3,4,3,3,4,1,2
433,06-21-2013,6,2013,Jun-13,Carrier08,Hefei CDC,Nanchang RDC,"Hefei CDC , Nanchang RDC",370.0450128,43.71,1.618092671,198.3695652,1,5,1,2,2,2,1,3,1
434,06-21-2013,6,2013,Jun-13,Carrier10,Hefei CDC,Beijing RDC,"Hefei CDC , Beijing RDC",922.8,112.9430244,0.187590676,194.0630577,1,5,1,4,4,5,2,3,4
435,06-21-2013,6,2013,Jun-13,Carrier09,Huiyang CDC,Guangzhou RDC,"Huiyang CDC , Guangzhou RDC",99.9,0.676430332,0.294394539,164.2857143,4,1,2,4,4,5,5,1,3
436,06-21-2013,6,2013,Jun-13,Carrier07,Huiyang CDC,Xiamen RDC,"Huiyang CDC , Xiamen RDC",413.6,133.3872502,0.388401094,104.3527711,4,1,2,2,2,5,2,1,4
437,06-22-2013,6,2013,Jun-13,Carrier08,Shanghai CDC,Shenyang RDC,"Shanghai CDC , Shenyang RDC",1203.6,134.5181975,0.234974368,196.2211221,5,4,3,2,2,5,3,2,4
438,06-22-2013,6,2013,Jun-13,Carrier08,Beijing CDC,Guangdong RDC,"Beijing CDC , Guangdong RDC",1933.6,19.04681488,0.167818494,209.6321429,3,3,5,4,4,5,3,2,4
439,06-22-2013,6,2013,Jun-13,Carrier08,Shenzhen CDC,Zhengzhou RDC,"Shenzhen CDC , Zhengzhou RDC",1337,293.4130781,0.239842955,155.9836345,2,3,4,2,2,5,2,2,4
440,06-22-2013,6,2013,Jun-13,Carrier07,Chengdu CDC,Kunming RDC,"Chengdu CDC , Kunming RDC",659.5,158.5292649,0.339038026,122.2203068,2,3,3,4,3,3,2,1,4
441,06-22-2013,6,2013,Jun-13,Carrier07,Huiyang CDC,Hainan RDC,"Huiyang CDC , Hainan RDC",541.9,118.07237,0.282865843,146.3854048,4,1,2,4,4,5,2,1,4
442,06-22-2013,6,2013,Jun-13,Carrier07,Huiyang CDC,Nanchang RDC,"Huiyang CDC , Nanchang RDC",659.3,1025.399843,0.302290704,120.8086785,4,1,2,2,2,2,3,1,4
443,06-24-2013,6,2013,Jun-13,Carrier08,Beijing CDC,Jiulongpo RDC,"Beijing CDC , Jiulongpo RDC",1479.7,75.09228413,0.331255331,115.4483798,3,3,5,4,3,3,1,2,4
444,06-24-2013,6,2013,Jun-13,Carrier07,Huiyang CDC,Kunming RDC,"Huiyang CDC , Kunming RDC",1205.6,60.66441657,0.175046473,230.521251,4,1,2,4,3,3,3,2,4
445,06-24-2013,6,2013,Jun-13,Carrier08,Hefei CDC,Shenyang RDC,"Hefei CDC , Shenyang RDC",1261.5,115.3678976,0.160134742,255.5257271,1,5,1,2,2,5,1,3,3
446,06-25-2013,6,2013,Jun-13,Carrier08,Shanghai CDC,Shenyang RDC,"Shanghai CDC , Shenyang RDC",1203.6,19.82174725,0.290761239,158.2122905,5,4,3,2,2,5,3,2,4
447,06-25-2013,6,2013,Jun-13,Carrier02,Shanghai CDC,Lanzhou RDC,"Shanghai CDC , Lanzhou RDC",1711.9,235.9671679,0.074358713,136.9262816,5,4,3,4,3,3,2,2,5
448,06-25-2013,6,2013,Jun-13,Carrier07,Chengdu CDC,Guiyang RDC,"Chengdu CDC , Guiyang RDC",547.7,1719.053646,0.332438421,127.8488246,2,3,3,4,4,5,2,1,4
449,06-25-2013,6,2013,Jun-13,Carrier12,Beijing CDC,Qingdao RDC,"Beijing CDC , Qingdao RDC",378.3,195.6147404,0.289555899,128.9479385,3,3,5,2,2,2,3,2,4
450,06-25-2013,6,2013,Jun-13,Carrier02,Huiyang CDC,Urumqi RDC,"Huiyang CDC , Urumqi RDC",3395.7,985.6575131,0.102640159,106.7169811,4,1,2,2,2,5,1,1,5
451,06-25-2013,6,2013,Jun-13,Carrier06,Hefei CDC,Nanjing RDC,"Hefei CDC , Nanjing RDC",151.2,61.09398247,0.163648294,248.0490255,1,5,1,2,2,2,2,3,5
452,06-25-2013,6,2013,Jun-13,Carrier08,Shenzhen CDC,Fuzhou RDC,"Shenzhen CDC , Fuzhou RDC",671.5,30.98787712,0.252170755,156.6780822,2,3,4,4,4,5,1,1,4
453,06-25-2013,6,2013,Jun-13,Carrier12,Beijing CDC,Qingdao RDC,"Beijing CDC , Qingdao RDC",378.3,176.2256283,0.320923798,116.1422628,3,3,5,2,2,2,3,2,4
454,06-26-2013,6,2013,Jun-13,Carrier02,Huiyang CDC,Shenyang RDC,"Huiyang CDC , Shenyang RDC",2282,70.7803899,0.094678947,109.4919786,4,1,2,2,2,5,1,1,5
455,06-26-2013,6,2013,Jun-13,Carrier08,Huiyang CDC,Shijiazhuang RDC,"Huiyang CDC , Shijiazhuang RDC",1691.7,892.8308271,0.241458202,148.3485136,4,1,2,2,2,5,1,1,4
456,06-26-2013,6,2013,Jun-13,Carrier04,Chengdu CDC,Hainan RDC,"Chengdu CDC , Hainan RDC",1357.385596,69.3,0.986551234,300,2,3,3,4,4,5,1,3,2
457,06-26-2013,6,2013,Jun-13,Carrier04,Chengdu CDC,Harbin RDC,"Chengdu CDC , Harbin RDC",2576.89331,116.96,0.874527687,260.6730286,2,3,3,4,3,3,1,3,3
458,06-26-2013,6,2013,Jun-13,Carrier03,Beijing CDC,Hohhot RDC,"Beijing CDC , Hohhot RDC",398.9,1.101799424,0.268895475,140.7123288,3,3,5,4,3,3,3,1,4
459,06-26-2013,6,2013,Jun-13,Carrier08,Beijing CDC,Changchun RDC,"Beijing CDC , Changchun RDC",865.3,50.01047154,0.230261073,158.961368,3,3,5,4,4,5,2,1,4
460,06-26-2013,6,2013,Jun-13,Carrier08,Shanghai CDC,Beijing RDC,"Shanghai CDC , Beijing RDC",1091.2,983.66861,0.148106451,244.6260199,5,4,3,4,4,5,4,2,5
461,06-27-2013,6,2013,Jun-13,Carrier08,Shanghai CDC,Zhengzhou RDC,"Shanghai CDC , Zhengzhou RDC",820.7,3.512160175,0.232276865,156.1355932,5,4,3,2,2,5,3,2,5
462,06-27-2013,6,2013,Jun-13,Carrier08,Shenzhen CDC,Zhengzhou RDC,"Shenzhen CDC , Zhengzhou RDC",1337,3.01866038,0.253683862,148.3333333,2,3,4,2,2,5,2,2,4
463,06-27-2013,6,2013,Jun-13,Carrier06,Huiyang CDC,Nanjing RDC,"Huiyang CDC , Nanjing RDC",1096.6,139.3215042,0.249114919,156.4417178,4,1,2,2,2,2,3,1,4
464,06-27-2013,6,2013,Jun-13,Carrier08,Huiyang CDC,Taiyuan RDC,"Huiyang CDC , Taiyuan RDC",1662.4,43.23697907,0.357410607,104.1058655,4,1,2,2,2,5,2,1,4
465,06-27-2013,6,2013,Jun-13,Carrier08,Shanghai CDC,Taiyuan RDC,"Shanghai CDC , Taiyuan RDC",1101.8,25.86975091,0.24956988,158.3838384,5,4,3,2,2,5,3,2,5
