Shipment#,IndexDate,Month,Year,Date(Period),CarrierRef,EnglishOrigin,EnglishDestination,Route,GCD,CO2,CO2Metric,Density,CDCTrafficRating,CDCDensityRating,CDCEfficiencyRating,RDCTrafficRating,RDCDensityRating,RDCEfficiencyRating,RouteTrafficRating,RouteDensityRating,RouteEfficiencyRating
30,04-09-2013,4,2013,Apr-13,Carrier08,Huiyang CDC,Beijing RDC,"Huiyang CDC , Beijing RDC",1915.8,6.762910294,0.306962708,113.8613861,4,1,2,4,4,5,3,1,4
31,04-10-2013,4,2013,Apr-13,Carrier12,Beijing CDC,Qingdao RDC,"Beijing CDC , Qingdao RDC",378.3,643.0583626,0.314286504,118.6314046,3,3,5,2,2,2,3,2,4
32,04-10-2013,4,2013,Apr-13,Carrier02,Beijing CDC,Urumqi RDC,"Beijing CDC , Urumqi RDC",2409.8,645.3740903,0.090684325,123.9761975,3,3,5,2,2,5,1,1,5
33,04-10-2013,4,2013,Apr-13,Carrier06,Shanghai CDC,Shijiazhuang RDC,"Shanghai CDC , Shijiazhuang RDC",1002.8,83.64971918,0.271713857,137.2373715,5,4,3,2,2,5,2,2,4
34,04-10-2013,4,2013,Apr-13,Carrier06,Shanghai CDC,Shijiazhuang RDC,"Shanghai CDC , Shijiazhuang RDC",1002.8,253.1037693,0.180715264,207.0653818,5,4,3,2,2,5,2,2,4
35,04-10-2013,4,2013,Apr-13,Carrier08,Shenzhen CDC,Zhengzhou RDC,"Shenzhen CDC , Zhengzhou RDC",1337,89.40845003,0.251873591,148.4899329,2,3,4,2,2,5,2,2,4
36,04-11-2013,4,2013,Apr-13,Carrier08,Shenzhen CDC,Jiulongpo RDC,"Shenzhen CDC , Jiulongpo RDC",1049,25.56540704,0.305978875,148.6007463,2,3,4,4,3,3,2,1,4
37,04-11-2013,4,2013,Apr-13,Carrier12,Shanghai CDC,Chongqing RDC,"Shanghai CDC , Chongqing RDC",559.6,501.0638188,0.224028768,185.5779356,5,4,3,4,4,5,2,2,5
38,04-11-2013,4,2013,Apr-13,Carrier07,Huiyang CDC,Hainan RDC,"Huiyang CDC , Hainan RDC",541.9,28.46425571,0.292546746,141.4893617,4,1,2,4,4,5,2,1,4
39,04-11-2013,4,2013,Apr-13,Carrier08,Shanghai CDC,Taiyuan RDC,"Shanghai CDC , Taiyuan RDC",1101.8,1102.597949,0.241838241,163.61512,5,4,3,2,2,5,3,2,5
40,04-11-2013,4,2013,Apr-13,Carrier02,Chengdu CDC,Chongqing RDC,"Chengdu CDC , Chongqing RDC",1639.2,20.69500118,0.035765047,284.6774194,2,3,3,4,4,5,1,3,5
41,04-11-2013,4,2013,Apr-13,Carrier08,Shanghai CDC,Beijing RDC,"Shanghai CDC , Beijing RDC",1091.2,1412.141341,0.140859732,257.3756163,5,4,3,4,4,5,4,2,5
42,04-11-2013,4,2013,Apr-13,Carrier06,Huiyang CDC,Hangzhou RDC,"Huiyang CDC , Hangzhou RDC",1000.8,3.142824422,0.356448601,111.5189873,4,1,2,4,3,3,2,1,4
43,04-11-2013,4,2013,Apr-13,Carrier09,Huiyang CDC,Changsha RDC,"Huiyang CDC , Changsha RDC",611,218.7909935,0.294197362,145.1598092,4,1,2,4,4,5,3,1,4
44,04-11-2013,4,2013,Apr-13,Carrier06,Shanghai CDC,Hainan RDC,"Shanghai CDC , Hainan RDC",1691.49454,758.07,0.939767657,195.7194451,5,4,3,4,4,5,2,2,2
45,04-11-2013,4,2013,Apr-13,Carrier10,Shanghai CDC,Changsha RDC,"Shanghai CDC , Changsha RDC",888.9,62.17516844,0.247860348,157.8299776,5,4,3,4,4,5,2,2,5
46,04-11-2013,4,2013,Apr-13,Carrier08,Shenzhen CDC,Guangzhou RDC,"Shenzhen CDC , Guangzhou RDC",52.1,1.574981125,0.328586565,154.3624161,2,3,4,4,4,5,2,2,4
47,04-12-2013,4,2013,Apr-13,Carrier07,Huiyang CDC,Chengdu RDC,"Huiyang CDC , Chengdu RDC",1348,4.256812881,0.369471517,120.3802817,4,1,2,4,4,5,2,1,4
48,04-12-2013,4,2013,Apr-13,Carrier08,Beijing CDC,Shenyang RDC,"Beijing CDC , Shenyang RDC",641.3,20.66204598,0.259328735,137.281768,3,3,5,2,2,5,3,1,4
49,04-12-2013,4,2013,Apr-13,Carrier06,Beijing CDC,Tianjin RDC,"Beijing CDC , Tianjin RDC",137.3,1.779861804,0.258233171,152.1212121,3,3,5,2,2,5,3,1,4
50,04-12-2013,4,2013,Apr-13,Carrier06,Huiyang CDC,Nanjing RDC,"Huiyang CDC , Nanjing RDC",1096.6,172.7112635,0.238932005,163.1611386,4,1,2,2,2,2,3,1,4
51,04-12-2013,4,2013,Apr-13,Carrier08,Shenzhen CDC,Nanjing RDC,"Shenzhen CDC , Nanjing RDC",1142.6,309.6288589,0.264884348,152.4416629,2,3,4,2,2,2,1,2,4
52,04-12-2013,4,2013,Apr-13,Carrier08,Shenzhen CDC,Beijing RDC,"Shenzhen CDC , Beijing RDC",1941.7,818.1001357,0.240117566,151.0970464,2,3,4,4,4,5,3,2,4
53,04-12-2013,4,2013,Apr-13,Carrier08,Shanghai CDC,Kunming RDC,"Shanghai CDC , Kunming RDC",1971.7,141.7101451,0.152394008,249.4024326,5,4,3,4,3,3,2,2,5
54,04-12-2013,4,2013,Apr-13,Carrier09,Huiyang CDC,Shanghai RDC,"Huiyang CDC , Shanghai RDC",1164,55.21777117,0.328017893,120.0165975,4,1,2,2,2,2,2,1,4
55,04-12-2013,4,2013,Apr-13,Carrier04,Chengdu CDC,Urumqi RDC,"Chengdu CDC , Urumqi RDC",2047.248245,988.88,0.906755898,268.4979839,2,3,3,2,2,5,1,2,2
56,04-12-2013,4,2013,Apr-13,Carrier08,Shanghai CDC,Taiyuan RDC,"Shanghai CDC , Taiyuan RDC",1101.8,138.6109214,0.220613678,179.4919736,5,4,3,2,2,5,3,2,5
57,04-13-2013,4,2013,Apr-13,Carrier09,Huiyang CDC,Changsha RDC,"Huiyang CDC , Changsha RDC",611,722.2700543,0.328536481,129.839528,4,1,2,4,4,5,3,1,4
58,04-13-2013,4,2013,Apr-13,Carrier07,Huiyang CDC,Xiamen RDC,"Huiyang CDC , Xiamen RDC",413.6,278.4963938,0.309016888,131.5820048,4,1,2,2,2,5,2,1,4
59,04-13-2013,4,2013,Apr-13,Carrier06,Beijing CDC,Shijiazhuang RDC,"Beijing CDC , Shijiazhuang RDC",266.2,181.2223713,0.312375364,123.1271186,3,3,5,2,2,5,3,1,4
60,04-14-2013,4,2013,Apr-13,Carrier03,Beijing CDC,Hohhot RDC,"Beijing CDC , Hohhot RDC",398.9,10.50049492,0.294250249,128.3500717,3,3,5,4,3,3,3,1,4
61,04-15-2013,4,2013,Apr-13,Carrier08,Shanghai CDC,Xian RDC,"Shanghai CDC , Xian RDC",1238.3,470.636922,0.180611864,199.7086457,5,4,3,2,2,5,3,2,5
62,04-15-2013,4,2013,Apr-13,Carrier08,Shenzhen CDC,Changsha RDC,"Shenzhen CDC , Changsha RDC",618.2,28.98758329,0.264916948,148.4899329,2,3,4,4,4,5,1,1,4
63,04-15-2013,4,2013,Apr-13,Carrier07,Shanghai CDC,Nanchang RDC,"Shanghai CDC , Nanchang RDC",628.7,272.7748847,0.226563226,175.0308016,5,4,3,2,2,2,2,2,4
64,04-15-2013,4,2013,Apr-13,Carrier08,Huiyang CDC,Qingdao RDC,"Huiyang CDC , Qingdao RDC",1553.3,22.70101656,0.324389096,112.6325,4,1,2,2,2,2,2,1,4
65,04-15-2013,4,2013,Apr-13,Carrier09,Huiyang CDC,Changsha RDC,"Huiyang CDC , Changsha RDC",611,43.51030158,0.309145313,138.0995204,4,1,2,4,4,5,3,1,4
66,04-15-2013,4,2013,Apr-13,Carrier08,Shenzhen CDC,Hangzhou RDC,"Shenzhen CDC , Hangzhou RDC",1056.6,28.23006678,0.272630992,150.5376344,2,3,4,4,3,3,1,2,4
67,04-15-2013,4,2013,Apr-13,Carrier09,Huiyang CDC,Shanghai RDC,"Huiyang CDC , Shanghai RDC",1164,81.18657294,0.276700579,142.4124294,4,1,2,2,2,2,2,1,4
68,04-15-2013,4,2013,Apr-13,Carrier08,Shenzhen CDC,Hefei RDC,"Shenzhen CDC , Hefei RDC",1070,101.7059837,0.257037104,149.5349778,2,3,4,4,3,3,1,1,4
69,04-16-2013,4,2013,Apr-13,Carrier02,Beijing CDC,Fuzhou RDC,"Beijing CDC , Fuzhou RDC",1583.8,150.3283426,0.077426962,137.3382254,3,3,5,4,4,5,2,2,5
70,04-16-2013,4,2013,Apr-13,Carrier03,Beijing CDC,Xian RDC,"Beijing CDC , Xian RDC",911.6,1034.77139,0.315887263,122.9107949,3,3,5,2,2,5,2,3,4
71,04-16-2013,4,2013,Apr-13,Carrier07,Chengdu CDC,Kunming RDC,"Chengdu CDC , Kunming RDC",659.5,1499.606997,0.288688798,143.7656743,2,3,3,4,3,3,2,1,4
72,04-16-2013,4,2013,Apr-13,Carrier12,Shanghai CDC,Qingdao RDC,"Shanghai CDC , Qingdao RDC",742.2,1944.917149,0.210661035,178.8977895,5,4,3,2,2,2,2,2,5
73,04-16-2013,4,2013,Apr-13,Carrier08,Shenzhen CDC,Xian RDC,"Shenzhen CDC , Xian RDC",1376,0.655082907,0.163040306,265.4545455,2,3,4,2,2,5,2,2,4
74,04-16-2013,4,2013,Apr-13,Carrier08,Shenzhen CDC,Shijiazhuang RDC,"Shenzhen CDC , Shijiazhuang RDC",1712.1,3.563963368,0.142577583,256.1403509,2,3,4,2,2,5,1,2,4
75,04-16-2013,4,2013,Apr-13,Carrier10,Hefei CDC,Beijing RDC,"Hefei CDC , Beijing RDC",922.8,177.6675233,0.146804305,248.7632777,1,5,1,4,4,5,2,3,4
76,04-16-2013,4,2013,Apr-13,Carrier09,Huiyang CDC,Guangdong RDC,"Huiyang CDC , Guangdong RDC",38.6,40.22286191,0.384517732,138.068066,4,1,2,4,4,5,3,1,4
77,04-16-2013,4,2013,Apr-13,Carrier07,Huiyang CDC,Nanning RDC,"Huiyang CDC , Nanning RDC",636.6,1041.299649,0.290865333,127.9116343,4,1,2,2,2,2,2,1,4
78,04-17-2013,4,2013,Apr-13,Carrier08,Shanghai CDC,Xian RDC,"Shanghai CDC , Xian RDC",1238.3,252.7247186,0.132526012,273.0496454,5,4,3,2,2,5,3,2,5
79,04-17-2013,4,2013,Apr-13,Carrier02,Huiyang CDC,Urumqi RDC,"Huiyang CDC , Urumqi RDC",3395.7,8.262535341,0.071450148,153.4009009,4,1,2,2,2,5,1,1,5
80,04-17-2013,4,2013,Apr-13,Carrier08,Shenzhen CDC,Nanjing RDC,"Shenzhen CDC , Nanjing RDC",1142.6,18.81339073,0.14775808,274.4704433,2,3,4,2,2,2,1,2,4
81,04-17-2013,4,2013,Apr-13,Carrier08,Chengdu CDC,Wuhan RDC,"Chengdu CDC , Wuhan RDC",1010.3,172.9338671,0.132903813,281.4532343,2,3,3,2,2,5,1,3,5
82,04-17-2013,4,2013,Apr-13,Carrier10,Shanghai CDC,Guangzhou RDC,"Shanghai CDC , Guangzhou RDC",1207.5,573.857259,0.202076753,193.8989199,5,4,3,4,4,5,3,2,4
