Route Name,Count of Shipment Num,Average of GCD,Average of Density,Average of CO2 Metric,Traffic Rating,Density Rating,Efficiency Rating
"Huiyang CDC , Hefei RDC",14,1031,142.8169358,0.259340403,2,1,4
"Huiyang CDC , Hohhot RDC",2,2009.1,140.6063444,0.07645904,1,1,5
"Huiyang CDC , Kunming RDC",17,1205.6,169.3416995,0.253977111,2,2,4
"Huiyang CDC , Lanzhou RDC",1,1774.3,127.8705531,0.092806076,1,1,5
"Huiyang CDC , Lhasa RDC",41,761.6780488,125.4308798,0.286302714,4,1,4
"Huiyang CDC , Nanjing RDC",23,1096.6,131.6060341,0.302314155,3,1,4
"Huiyang CDC , Nanning RDC",13,636.6,131.5934937,0.286093001,2,1,4
"Huiyang CDC , Qingdao RDC",32,1231.58125,130.646643,0.296405756,3,1,4
"Huiyang CDC , Shanghai RDC",15,1164,149.1564159,0.299253734,2,1,4
"Huiyang CDC , Shenyang RDC",3,2282,148.6322203,0.072939155,1,1,5
"Huiyang CDC , Taiyuan RDC",9,1662.4,143.6105816,0.274043139,1,1,4
"Huiyang CDC , Tianjin RDC",4,1823.8,127.2471407,0.300709243,1,1,4
"Huiyang CDC , Urumqi RDC",2,3395.7,130.058941,0.087045153,1,1,5
"Huiyang CDC , Xiamen RDC",12,413.6,126.3452143,0.324951053,2,1,4
"Huiyang CDC , Xian RDC",28,1214.239286,136.1729847,0.322056311,3,1,4
"Huiyang CDC , Yinchuan RDC",27,705.2222222,128.8690728,0.313432053,3,1,4
"Shanghai CDC , Beijing RDC",49,1091.2,191.7620988,0.200578664,4,2,5
"Shanghai CDC , Chongqing RDC",8,559.6,211.2955286,0.201695613,1,3,5
"Shanghai CDC , Fuzhou RDC",6,623.6,180.5184178,0.231867305,1,2,4
"Shanghai CDC , Guangdong RDC",6,1202.6,163.4896891,0.25117438,1,2,4
"Shanghai CDC , Guangzhou RDC",39,1448.834421,184.3614971,0.252993657,4,2,4
"Shanghai CDC , Hangzhou RDC",45,178.7,150.3654302,1.068820172,4,1,2
"Shanghai CDC , Harbin RDC",4,1667.1,187.1433456,0.24995227,1,2,4
"Shanghai CDC , Hefei RDC",25,413.4,151.6223371,0.256677084,3,1,4
"Shanghai CDC , Hohhot RDC",8,1387.288724,192.2771413,0.414569982,1,2,4
"Shanghai CDC , Kunming RDC",14,1971.7,197.6254981,0.207511765,2,2,5
"Shanghai CDC , Lanzhou RDC",8,1711.9,198.0618605,0.052606204,1,2,5
"Shanghai CDC , Lhasa RDC",18,663.7555556,183.9788307,0.229216311,2,2,4
"Shanghai CDC , Nanjing RDC",56,278.7,147.2811926,0.264999752,4,1,4
"Shanghai CDC , Nanning RDC",5,1618.1,168.6068924,0.091605648,1,2,5
"Shanghai CDC , Qingdao RDC",35,1068.207167,178.1877102,0.424467514,3,2,4
"Shanghai CDC , Shanghai RDC",1,24.1,173.6842105,0.321741695,1,2,4
"Shanghai CDC , Shenyang RDC",17,1203.6,174.2281784,0.268771919,2,2,4
"Shanghai CDC , Taiyuan RDC",17,1101.8,183.8613302,0.179662009,2,2,5
"Shanghai CDC , Tianjin RDC",12,957.2,182.4784358,0.216864251,2,2,4
"Shanghai CDC , Urumqi RDC",3,3293.4,151.7574234,0.06746616,1,1,5
"Shanghai CDC , Xiamen RDC",8,822,183.3648012,0.221027325,1,2,4
"Shanghai CDC , Xian RDC",56,1168.920402,197.9480227,0.203486252,4,2,5
"Shanghai CDC , Xining RDC",4,1919.581191,138.079411,0.976301453,1,1,2
"Shanghai CDC , Yinchuan RDC",26,1172.219231,200.1468844,0.202995035,3,2,5
"Shenzhen CDC , Beijing RDC",18,1941.7,180.7583293,0.215239445,2,2,4
"Shenzhen CDC , Chongqing RDC",7,1627,139.967996,0.093582125,1,1,5
"Shenzhen CDC , Fuzhou RDC",6,671.5,152.854579,0.260466858,1,1,4
"Shenzhen CDC , Guangzhou RDC",18,401.0166667,166.0325899,0.311960098,2,2,4
"Shenzhen CDC , Hangzhou RDC",7,1056.6,170.2898827,0.245150643,1,2,4
"Shenzhen CDC , Hefei RDC",7,1070,150.3055352,0.275912581,1,1,4
"Shenzhen CDC , Hohhot RDC",4,2020.563248,155.9257042,0.747298371,1,1,3
"Shenzhen CDC , Kunming RDC",6,1140.7,178.3320427,0.248100465,1,2,4
"Shenzhen CDC , Lanzhou RDC",1,1753.4,163.3009324,0.072990861,1,2,5
"Shenzhen CDC , Lhasa RDC",8,800.425,178.7909346,0.230258168,1,2,4
"Shenzhen CDC , Nanjing RDC",7,1142.6,168.3665908,0.252742569,1,2,4
"Shenzhen CDC , Nanning RDC",3,565.6,203.1664835,0.20861407,1,3,5
"Shenzhen CDC , Qingdao RDC",14,1391.633584,169.61897,0.501927469,2,2,4
"Shenzhen CDC , Shanghai RDC",13,1221.2,147.3966575,0.279801388,2,1,4
"Shenzhen CDC , Taiyuan RDC",6,1675.3,154.3121269,0.245560088,1,1,4
"Shenzhen CDC , Tianjin RDC",4,1853.5,169.7615784,0.220992394,1,2,4
"Shenzhen CDC , Urumqi RDC",1,3364.475338,164.4358858,0.819409148,1,2,3
"Shenzhen CDC , Xiamen RDC",4,486.2,148.3633985,0.381628808,1,1,4
"Shenzhen CDC , Xian RDC",26,1240.953846,168.4689189,0.279033778,3,2,4
"Shenzhen CDC , Yinchuan RDC",6,618.2,146.3761769,0.270152465,1,1,4
